article_id,is_propaganda,afiin_score
728116435,non-propaganda,-20.0
731823945,non-propaganda,-13.0
734143572,non-propaganda,-35.0
731178827,non-propaganda,64.0
731421343,non-propaganda,29.0
731421648,non-propaganda,36.0
730640212,non-propaganda,-8.0
731234347,non-propaganda,2.0
733186573,non-propaganda,-10.0
731781536,non-propaganda,-17.0
731245425,non-propaganda,26.0
731245732,non-propaganda,41.0
731581144,non-propaganda,17.0
733570925,non-propaganda,-29.0
727160251,non-propaganda,11.0
729609586,non-propaganda,-19.0
729609635,non-propaganda,-55.0
729610070,non-propaganda,-21.0
729018853,non-propaganda,-16.0
729019025,non-propaganda,44.0
727930813,non-propaganda,-61.0
727930831,non-propaganda,4.0
729309548,non-propaganda,45.0
727931777,non-propaganda,15.0
734201740,non-propaganda,-12.0
734202018,non-propaganda,7.0
732106072,non-propaganda,-14.0
730865595,non-propaganda,-13.0
727441015,non-propaganda,-62.0
729526914,non-propaganda,19.0
729599391,non-propaganda,-51.0
730610445,non-propaganda,3.0
728680646,non-propaganda,-8.0
732724403,non-propaganda,30.0
730112155,non-propaganda,-18.0
730512899,non-propaganda,-36.0
727284714,non-propaganda,-10.0
733791791,non-propaganda,27.0
728288447,non-propaganda,-18.0
728910019,non-propaganda,-28.0
727253882,non-propaganda,13.0
734409316,non-propaganda,-7.0
732473307,non-propaganda,-2.0
731842700,non-propaganda,37.0
734190481,non-propaganda,-40.0
733218910,non-propaganda,-27.0
729849470,non-propaganda,8.0
728655553,non-propaganda,8.0
733877844,non-propaganda,-17.0
727637247,non-propaganda,17.0
731079175,non-propaganda,-66.0
732970380,non-propaganda,-24.0
734103594,non-propaganda,4.0
733422206,non-propaganda,-51.0
731373629,non-propaganda,-32.0
728207748,non-propaganda,34.0
730913246,non-propaganda,-20.0
730048221,non-propaganda,-30.0
728940412,non-propaganda,-4.0
752246215,non-propaganda,-15.0
752478087,non-propaganda,-5.0
752548422,non-propaganda,-12.0
752548704,non-propaganda,-1.0
752806601,non-propaganda,-49.0
752854188,non-propaganda,-5.0
753153770,non-propaganda,21.0
728666894,non-propaganda,-16.0
733417541,non-propaganda,1.0
728830089,non-propaganda,79.0
727202559,non-propaganda,66.0
732765630,non-propaganda,-15.0
728955897,non-propaganda,98.0
729563805,non-propaganda,-38.0
729627524,non-propaganda,8.0
729442897,non-propaganda,-39.0
733963782,non-propaganda,146.0
734094869,non-propaganda,24.0
730612658,non-propaganda,84.0
732858868,non-propaganda,-58.0
728183153,non-propaganda,0.0
728183834,non-propaganda,125.0
730860197,non-propaganda,38.0
732931283,non-propaganda,-85.0
733160029,non-propaganda,-2.0
730310487,non-propaganda,23.0
728493817,non-propaganda,-38.0
728453863,non-propaganda,-35.0
728344305,non-propaganda,-20.0
734416222,non-propaganda,79.0
732474311,non-propaganda,-9.0
728826535,non-propaganda,36.0
727291579,non-propaganda,-12.0
729403392,non-propaganda,-52.0
731179633,non-propaganda,-36.0
729446416,non-propaganda,121.0
732794188,non-propaganda,-30.0
727314348,non-propaganda,8.0
732333149,non-propaganda,38.0
729554281,non-propaganda,-21.0
732105551,non-propaganda,-1.0
734192523,non-propaganda,5.0
730786418,non-propaganda,0.0
727632666,non-propaganda,5.0
734424010,non-propaganda,7.0
734424552,non-propaganda,-1.0
727771400,non-propaganda,0.0
729113851,non-propaganda,6.0
732544261,non-propaganda,2.0
729053178,non-propaganda,-4.0
729056120,non-propaganda,-35.0
727486298,non-propaganda,5.0
727486350,non-propaganda,-29.0
732718276,non-propaganda,9.0
733547665,non-propaganda,0.0
729364846,non-propaganda,4.0
729365506,non-propaganda,-13.0
727768215,non-propaganda,0.0
730313188,non-propaganda,4.0
730568733,non-propaganda,0.0
732142231,non-propaganda,0.0
728394225,non-propaganda,2.0
729300645,non-propaganda,13.0
729301070,non-propaganda,-20.0
733246534,non-propaganda,-23.0
733247685,non-propaganda,2.0
733248259,non-propaganda,5.0
730343617,non-propaganda,32.0
730343624,non-propaganda,21.0
730344234,non-propaganda,-2.0
728426455,non-propaganda,0.0
728426769,non-propaganda,2.0
728427025,non-propaganda,1.0
730281374,non-propaganda,27.0
731913715,non-propaganda,-3.0
728771914,non-propaganda,-10.0
731285107,non-propaganda,27.0
728367667,non-propaganda,-3.0
734118137,non-propaganda,-33.0
734118992,non-propaganda,1.0
734119149,non-propaganda,-3.0
730938667,non-propaganda,12.0
730572083,non-propaganda,2.0
730574012,non-propaganda,20.0
730574150,non-propaganda,2.0
732928803,non-propaganda,10.0
732928813,non-propaganda,3.0
732928817,non-propaganda,7.0
731185254,non-propaganda,161.0
731257293,non-propaganda,39.0
730580381,non-propaganda,10.0
731951835,non-propaganda,5.0
727724258,non-propaganda,-15.0
728984142,non-propaganda,47.0
731268414,non-propaganda,0.0
731268816,non-propaganda,0.0
727712292,non-propaganda,28.0
727712326,non-propaganda,13.0
732330585,non-propaganda,0.0
728719344,non-propaganda,57.0
729403907,non-propaganda,12.0
734462635,non-propaganda,1.0
731813541,non-propaganda,35.0
727822706,non-propaganda,4.0
731318425,non-propaganda,-14.0
731492437,non-propaganda,-33.0
732278295,non-propaganda,5.0
729665021,non-propaganda,3.0
729666607,non-propaganda,1.0
733707206,non-propaganda,0.0
733707571,non-propaganda,-7.0
728735206,non-propaganda,0.0
732784933,non-propaganda,5.0
732787014,non-propaganda,9.0
732787807,non-propaganda,5.0
733894868,non-propaganda,-43.0
733895105,non-propaganda,-23.0
732538562,non-propaganda,-40.0
733889729,non-propaganda,-21.0
729315047,non-propaganda,-57.0
732507314,non-propaganda,-56.0
730368787,non-propaganda,-117.0
734455944,non-propaganda,1.0
729629176,non-propaganda,-38.0
727257360,non-propaganda,-56.0
730665099,non-propaganda,-177.0
730905062,non-propaganda,-32.0
730905585,non-propaganda,-37.0
730905699,non-propaganda,-4.0
732016679,non-propaganda,-39.0
727197196,non-propaganda,6.0
727197394,non-propaganda,-35.0
727198439,non-propaganda,-35.0
730068755,non-propaganda,-61.0
730068759,non-propaganda,20.0
732216893,non-propaganda,-42.0
732217268,non-propaganda,2.0
732217300,non-propaganda,17.0
734233756,non-propaganda,-55.0
734234031,non-propaganda,3.0
729043572,non-propaganda,-11.0
731790359,non-propaganda,8.0
728977246,non-propaganda,-4.0
728977320,non-propaganda,12.0
728977747,non-propaganda,34.0
730592179,non-propaganda,-4.0
730592181,non-propaganda,-5.0
731987281,non-propaganda,-25.0
728398287,non-propaganda,-23.0
728398296,non-propaganda,-54.0
734490405,non-propaganda,-14.0
734490406,non-propaganda,-64.0
734137358,non-propaganda,-48.0
733122835,non-propaganda,-147.0
730033428,non-propaganda,-20.0
732176949,non-propaganda,1.0
730301951,non-propaganda,-18.0
733707075,non-propaganda,-28.0
731942963,non-propaganda,-38.0
731943212,non-propaganda,-40.0
731943364,non-propaganda,-43.0
731580442,non-propaganda,-35.0
729346379,non-propaganda,-15.0
729606573,non-propaganda,2.0
729377071,non-propaganda,-34.0
728507821,non-propaganda,-21.0
734403095,non-propaganda,4.0
728786563,non-propaganda,-42.0
729861805,non-propaganda,-23.0
728113702,non-propaganda,19.0
729603171,non-propaganda,30.0
733488524,non-propaganda,-27.0
731217604,non-propaganda,-29.0
727692320,non-propaganda,-26.0
727391174,non-propaganda,-38.0
727391677,non-propaganda,-3.0
727452471,non-propaganda,-80.0
732079686,non-propaganda,25.0
733804671,non-propaganda,33.0
733804757,non-propaganda,1.0
731369320,non-propaganda,35.0
731402987,non-propaganda,2.0
727287852,non-propaganda,4.0
728840963,non-propaganda,47.0
727618011,non-propaganda,21.0
733516649,non-propaganda,79.0
730684005,non-propaganda,10.0
728887920,non-propaganda,11.0
729955887,non-propaganda,6.0
727247781,non-propaganda,9.0
729518876,non-propaganda,-9.0
727346865,non-propaganda,49.0
731688488,non-propaganda,36.0
727551656,non-propaganda,46.0
727553006,non-propaganda,59.0
728533010,non-propaganda,24.0
728639600,non-propaganda,32.0
733696513,non-propaganda,-46.0
731804501,non-propaganda,11.0
728507694,non-propaganda,-2.0
728507880,non-propaganda,50.0
729772238,non-propaganda,13.0
728293618,non-propaganda,49.0
733650314,non-propaganda,-17.0
731835883,non-propaganda,-7.0
731835908,non-propaganda,24.0
731836113,non-propaganda,15.0
732105113,non-propaganda,-23.0
732105458,non-propaganda,-16.0
729681882,non-propaganda,-8.0
729683190,non-propaganda,41.0
729856354,non-propaganda,32.0
734362062,non-propaganda,41.0
733327488,non-propaganda,-4.0
733328508,non-propaganda,-26.0
730095911,non-propaganda,28.0
730096078,non-propaganda,-68.0
730096151,non-propaganda,-76.0
730525627,non-propaganda,2.0
730527265,non-propaganda,14.0
729790901,non-propaganda,17.0
727866559,non-propaganda,-29.0
727866814,non-propaganda,6.0
727867034,non-propaganda,9.0
733686331,non-propaganda,13.0
730194450,non-propaganda,-27.0
730546892,non-propaganda,-40.0
728177842,non-propaganda,8.0
728178728,non-propaganda,-13.0
732128484,non-propaganda,31.0
728301547,non-propaganda,-1.0
728301586,non-propaganda,4.0
728607314,non-propaganda,24.0
731384978,non-propaganda,6.0
733687875,non-propaganda,2.0
732224787,non-propaganda,-49.0
732537243,non-propaganda,-48.0
732538415,non-propaganda,-2.0
732538432,non-propaganda,28.0
733807916,non-propaganda,-69.0
734423921,non-propaganda,30.0
734426826,non-propaganda,-12.0
733552894,non-propaganda,7.0
731919631,non-propaganda,21.0
734075487,non-propaganda,-5.0
727796304,non-propaganda,30.0
727796332,non-propaganda,9.0
727796334,non-propaganda,-3.0
727796348,non-propaganda,66.0
732154635,non-propaganda,-10.0
732154846,non-propaganda,-25.0
733417479,non-propaganda,29.0
732314903,non-propaganda,36.0
732080045,non-propaganda,21.0
732080048,non-propaganda,-11.0
732080974,non-propaganda,-20.0
731759385,non-propaganda,-7.0
732925270,non-propaganda,20.0
730014729,non-propaganda,-41.0
733497342,non-propaganda,22.0
730142078,non-propaganda,-28.0
730142568,non-propaganda,46.0
730142701,non-propaganda,4.0
731000805,non-propaganda,-92.0
729748717,non-propaganda,38.0
729749073,non-propaganda,45.0
729749434,non-propaganda,2.0
733907474,non-propaganda,-15.0
732675676,non-propaganda,-7.0
732678252,non-propaganda,18.0
728515127,non-propaganda,-7.0
732545041,non-propaganda,-3.0
732972101,non-propaganda,27.0
732972139,non-propaganda,-47.0
730669206,non-propaganda,-38.0
730670017,non-propaganda,-13.0
729272648,non-propaganda,21.0
729272811,non-propaganda,18.0
729272953,non-propaganda,20.0
731825265,non-propaganda,-60.0
727561437,non-propaganda,-39.0
727562056,non-propaganda,-93.0
732541116,non-propaganda,-71.0
732605905,non-propaganda,-6.0
729206484,non-propaganda,-29.0
733257213,non-propaganda,30.0
733757379,non-propaganda,-102.0
731213911,non-propaganda,-45.0
731214118,non-propaganda,-26.0
728545120,non-propaganda,9.0
733274103,non-propaganda,-30.0
733274188,non-propaganda,3.0
733275509,non-propaganda,15.0
730253996,non-propaganda,-53.0
732975122,non-propaganda,-38.0
732975619,non-propaganda,-21.0
732976191,non-propaganda,34.0
732976791,non-propaganda,-89.0
731891078,non-propaganda,-71.0
728723430,non-propaganda,51.0
728724881,non-propaganda,21.0
728726781,non-propaganda,-16.0
728728270,non-propaganda,3.0
729624914,non-propaganda,0.0
729625429,non-propaganda,-29.0
729626133,non-propaganda,48.0
731400024,non-propaganda,-13.0
733093785,non-propaganda,30.0
733094431,non-propaganda,-52.0
727202021,non-propaganda,31.0
727202930,non-propaganda,-12.0
727203168,non-propaganda,-12.0
727979517,non-propaganda,24.0
727979684,non-propaganda,3.0
727979705,non-propaganda,-45.0
727979977,non-propaganda,9.0
730997535,non-propaganda,-141.0
730998557,non-propaganda,7.0
730998766,non-propaganda,-34.0
732788553,non-propaganda,-28.0
732789456,non-propaganda,0.0
728681197,non-propaganda,-6.0
728681860,non-propaganda,11.0
734066626,non-propaganda,5.0
732246463,non-propaganda,23.0
730061138,non-propaganda,-42.0
730061326,non-propaganda,-28.0
730061348,non-propaganda,-54.0
730061387,non-propaganda,128.0
730061450,non-propaganda,3.0
733171305,non-propaganda,-12.0
728359006,non-propaganda,35.0
728359303,non-propaganda,12.0
731198835,non-propaganda,-18.0
727383412,non-propaganda,-23.0
732878332,non-propaganda,-39.0
730637918,non-propaganda,-19.0
731508374,non-propaganda,-19.0
729948652,non-propaganda,-3.0
734483952,non-propaganda,14.0
732273297,non-propaganda,18.0
729490487,non-propaganda,-16.0
731473393,non-propaganda,-30.0
731474446,non-propaganda,-7.0
734497201,non-propaganda,21.0
731480976,non-propaganda,39.0
731482743,non-propaganda,14.0
731482805,non-propaganda,-43.0
732367092,non-propaganda,-8.0
732367129,non-propaganda,19.0
732367144,non-propaganda,-38.0
732367337,non-propaganda,12.0
732367578,non-propaganda,-11.0
732368083,non-propaganda,11.0
727430935,non-propaganda,-49.0
728055715,non-propaganda,4.0
728107430,non-propaganda,-2.0
728107637,non-propaganda,59.0
728107848,non-propaganda,-1.0
731719367,non-propaganda,28.0
729342300,non-propaganda,23.0
729343393,non-propaganda,-37.0
733867298,non-propaganda,-19.0
731798604,non-propaganda,-11.0
731798899,non-propaganda,-162.0
731495986,non-propaganda,17.0
731497951,non-propaganda,10.0
731602322,non-propaganda,-34.0
731603608,non-propaganda,-24.0
732507091,non-propaganda,-14.0
732507182,non-propaganda,-211.0
733890943,non-propaganda,-4.0
734218092,non-propaganda,35.0
734218093,non-propaganda,-2.0
734218097,non-propaganda,8.0
734218180,non-propaganda,15.0
734218830,non-propaganda,-4.0
734219316,non-propaganda,-35.0
729942177,non-propaganda,-6.0
729942325,non-propaganda,18.0
729942930,non-propaganda,-20.0
729698858,non-propaganda,-21.0
733700336,non-propaganda,-9.0
731053144,non-propaganda,-25.0
728918656,non-propaganda,-7.0
729912624,non-propaganda,-36.0
732359889,non-propaganda,-53.0
732359890,non-propaganda,5.0
732360518,non-propaganda,-7.0
732361420,non-propaganda,28.0
732361446,non-propaganda,17.0
733849025,non-propaganda,9.0
733849707,non-propaganda,-23.0
733605153,non-propaganda,-35.0
731855836,non-propaganda,-16.0
729238570,non-propaganda,5.0
729543050,non-propaganda,-59.0
731893033,non-propaganda,-39.0
730394010,non-propaganda,-7.0
731970059,non-propaganda,-57.0
731970299,non-propaganda,-24.0
730568515,non-propaganda,-8.0
731306506,non-propaganda,1.0
734455227,non-propaganda,-15.0
730807387,non-propaganda,-3.0
730808439,non-propaganda,-1.0
727267309,non-propaganda,13.0
727267666,non-propaganda,26.0
728589067,non-propaganda,-1.0
728590101,non-propaganda,17.0
734257148,non-propaganda,9.0
734257176,non-propaganda,-39.0
734257184,non-propaganda,-19.0
734258611,non-propaganda,-14.0
728812016,non-propaganda,0.0
728812728,non-propaganda,4.0
732143409,non-propaganda,6.0
730838785,non-propaganda,-12.0
728214384,non-propaganda,-1.0
734297032,non-propaganda,17.0
733754456,non-propaganda,17.0
733754735,non-propaganda,-1.0
733754771,non-propaganda,1.0
733754781,non-propaganda,-53.0
733755138,non-propaganda,-7.0
732608492,non-propaganda,-91.0
732608685,non-propaganda,25.0
732609249,non-propaganda,36.0
732609533,non-propaganda,-32.0
728749656,non-propaganda,20.0
728750266,non-propaganda,60.0
733918715,non-propaganda,-9.0
733918748,non-propaganda,-69.0
731221168,non-propaganda,-54.0
731338077,non-propaganda,29.0
730151951,non-propaganda,-43.0
733432909,non-propaganda,-11.0
728271820,non-propaganda,-2.0
728272910,non-propaganda,-26.0
730925854,non-propaganda,7.0
730926075,non-propaganda,-12.0
734166646,non-propaganda,16.0
728458710,non-propaganda,-5.0
727412573,non-propaganda,-30.0
731815080,non-propaganda,-13.0
730508841,non-propaganda,4.0
730509765,non-propaganda,-26.0
731724119,non-propaganda,-6.0
730906324,non-propaganda,20.0
734126411,non-propaganda,33.0
734127087,non-propaganda,30.0
733763199,non-propaganda,10.0
732016204,non-propaganda,-13.0
732016547,non-propaganda,-9.0
729178608,non-propaganda,15.0
729179585,non-propaganda,-26.0
729179923,non-propaganda,21.0
731325260,non-propaganda,9.0
731325430,non-propaganda,16.0
731325820,non-propaganda,-15.0
731326345,non-propaganda,-3.0
731090652,non-propaganda,-10.0
732736060,non-propaganda,-36.0
733086683,non-propaganda,7.0
727207030,non-propaganda,-22.0
727207579,non-propaganda,14.0
727208178,non-propaganda,-56.0
733505816,non-propaganda,-34.0
733505848,non-propaganda,-14.0
733602740,non-propaganda,-108.0
729578816,non-propaganda,-15.0
729579385,non-propaganda,4.0
729579444,non-propaganda,52.0
733314379,non-propaganda,15.0
730481402,non-propaganda,-6.0
731542078,non-propaganda,-43.0
734341544,non-propaganda,30.0
732267378,non-propaganda,26.0
732268540,non-propaganda,24.0
733248748,non-propaganda,-5.0
727993656,non-propaganda,17.0
728361709,non-propaganda,44.0
732552933,non-propaganda,38.0
727425011,non-propaganda,18.0
727806628,non-propaganda,-10.0
730517769,non-propaganda,-28.0
730517896,non-propaganda,-9.0
728163578,non-propaganda,-65.0
731961636,non-propaganda,25.0
729905589,non-propaganda,58.0
729905881,non-propaganda,12.0
730270351,non-propaganda,-51.0
732461117,non-propaganda,-26.0
728431076,non-propaganda,-14.0
729739057,non-propaganda,0.0
727978539,non-propaganda,20.0
728001361,non-propaganda,19.0
728031784,non-propaganda,-20.0
727702438,non-propaganda,26.0
727702585,non-propaganda,-57.0
727703796,non-propaganda,-10.0
729348600,non-propaganda,30.0
730272896,non-propaganda,-13.0
730273144,non-propaganda,-43.0
733778977,non-propaganda,8.0
730943783,non-propaganda,-23.0
733072749,non-propaganda,-24.0
733072799,non-propaganda,6.0
733072861,non-propaganda,12.0
733073993,non-propaganda,11.0
733074749,non-propaganda,-2.0
733951118,non-propaganda,-8.0
733951228,non-propaganda,10.0
733927193,non-propaganda,-54.0
732405584,non-propaganda,-45.0
730754134,non-propaganda,-15.0
730754417,non-propaganda,-12.0
727646908,non-propaganda,-32.0
727647324,non-propaganda,31.0
727647997,non-propaganda,-22.0
732070381,non-propaganda,15.0
732071006,non-propaganda,-15.0
730714803,non-propaganda,26.0
730715238,non-propaganda,-35.0
730716146,non-propaganda,-22.0
732645667,non-propaganda,7.0
732645770,non-propaganda,1.0
732647295,non-propaganda,7.0
731288596,non-propaganda,-32.0
730731188,non-propaganda,48.0
731599343,non-propaganda,7.0
728568002,non-propaganda,14.0
731900269,non-propaganda,-8.0
730781994,non-propaganda,-45.0
730782370,non-propaganda,-2.0
730782871,non-propaganda,-8.0
730783128,non-propaganda,-19.0
733987288,non-propaganda,-21.0
732956216,non-propaganda,-11.0
732293085,non-propaganda,3.0
731592202,non-propaganda,-61.0
732727542,non-propaganda,-14.0
728250274,non-propaganda,-45.0
728250530,non-propaganda,-23.0
729002224,non-propaganda,-23.0
729002897,non-propaganda,14.0
732254047,non-propaganda,-47.0
732254055,non-propaganda,-81.0
732255006,non-propaganda,11.0
734387152,non-propaganda,9.0
734387322,non-propaganda,36.0
734387552,non-propaganda,17.0
734388196,non-propaganda,-41.0
734437968,non-propaganda,3.0
727349305,non-propaganda,26.0
727349740,non-propaganda,-9.0
727349839,non-propaganda,-32.0
727350484,non-propaganda,-69.0
730850596,non-propaganda,-34.0
730852267,non-propaganda,-3.0
731193637,non-propaganda,-31.0
731193950,non-propaganda,-44.0
734071105,non-propaganda,0.0
729333572,non-propaganda,139.0
729333857,non-propaganda,17.0
729334589,non-propaganda,-2.0
729334942,non-propaganda,-31.0
729089491,non-propaganda,-10.0
729090507,non-propaganda,55.0
729090876,non-propaganda,8.0
729091351,non-propaganda,11.0
730704542,non-propaganda,8.0
730704868,non-propaganda,68.0
733883560,non-propaganda,-11.0
733884007,non-propaganda,-13.0
733884575,non-propaganda,21.0
730908372,non-propaganda,5.0
731444801,non-propaganda,-47.0
728778122,non-propaganda,0.0
728778250,non-propaganda,-4.0
728778835,non-propaganda,16.0
733596755,non-propaganda,-9.0
730401467,non-propaganda,22.0
730401844,non-propaganda,-9.0
730402007,non-propaganda,-27.0
730402226,non-propaganda,19.0
733832222,non-propaganda,-23.0
730307473,non-propaganda,-20.0
730308383,non-propaganda,-31.0
731913386,non-propaganda,4.0
729432571,non-propaganda,-5.0
729432879,non-propaganda,-36.0
729433159,non-propaganda,35.0
729433428,non-propaganda,7.0
729433585,non-propaganda,-1.0
729433917,non-propaganda,16.0
727536382,non-propaganda,26.0
732189074,non-propaganda,-46.0
730112072,non-propaganda,-6.0
727747183,non-propaganda,2.0
727747193,non-propaganda,38.0
727747487,non-propaganda,-3.0
727748809,non-propaganda,-2.0
727749474,non-propaganda,-14.0
732363741,non-propaganda,3.0
732824982,non-propaganda,-44.0
733576297,non-propaganda,-11.0
732286621,non-propaganda,6.0
734466793,non-propaganda,2.0
732440312,non-propaganda,-98.0
732440709,non-propaganda,3.0
732441132,non-propaganda,-4.0
732441161,non-propaganda,-45.0
732441499,non-propaganda,-14.0
732441932,non-propaganda,3.0
731328157,non-propaganda,-11.0
731284468,non-propaganda,17.0
732840337,non-propaganda,-70.0
732704017,non-propaganda,-42.0
732704040,non-propaganda,-32.0
732704600,non-propaganda,-12.0
732704779,non-propaganda,23.0
731833986,non-propaganda,-4.0
731834124,non-propaganda,-32.0
731835208,non-propaganda,28.0
728090071,non-propaganda,-7.0
731800484,non-propaganda,-15.0
730174725,non-propaganda,-97.0
730054326,non-propaganda,-8.0
728367737,non-propaganda,31.0
728368746,non-propaganda,21.0
731205447,non-propaganda,19.0
732769694,non-propaganda,-52.0
732771398,non-propaganda,4.0
731671823,non-propaganda,-34.0
731682709,non-propaganda,-40.0
731683314,non-propaganda,10.0
731683453,non-propaganda,17.0
731683583,non-propaganda,4.0
732953476,non-propaganda,-9.0
732953677,non-propaganda,14.0
732953705,non-propaganda,12.0
732953710,non-propaganda,-33.0
732953840,non-propaganda,-15.0
732953866,non-propaganda,98.0
732954661,non-propaganda,-15.0
732954982,non-propaganda,4.0
729100241,non-propaganda,-1.0
729100852,non-propaganda,9.0
727669709,non-propaganda,-34.0
727670481,non-propaganda,23.0
727671342,non-propaganda,-24.0
731237920,non-propaganda,-36.0
732260438,non-propaganda,10.0
733323598,non-propaganda,-53.0
733324217,non-propaganda,-17.0
733324450,non-propaganda,11.0
734118111,non-propaganda,-32.0
734118331,non-propaganda,11.0
731695251,non-propaganda,57.0
731695321,non-propaganda,60.0
733471779,non-propaganda,-40.0
733471834,non-propaganda,-186.0
733471863,non-propaganda,46.0
733472235,non-propaganda,-1.0
733472286,non-propaganda,-28.0
733472861,non-propaganda,-3.0
733473133,non-propaganda,-11.0
733473997,non-propaganda,1.0
731412934,non-propaganda,-33.0
730403920,non-propaganda,-2.0
730404308,non-propaganda,39.0
730404452,non-propaganda,-17.0
732306836,non-propaganda,152.0
732307471,non-propaganda,1.0
732307531,non-propaganda,-81.0
732307540,non-propaganda,0.0
732307583,non-propaganda,20.0
732307738,non-propaganda,-24.0
732308279,non-propaganda,-65.0
732308318,non-propaganda,19.0
734390800,non-propaganda,53.0
733689737,non-propaganda,2.0
733690302,non-propaganda,-1.0
727839097,non-propaganda,2.0
727839145,non-propaganda,-19.0
731787299,non-propaganda,-47.0
728183072,non-propaganda,-36.0
728183190,non-propaganda,1.0
728183459,non-propaganda,-13.0
728183487,non-propaganda,-37.0
729015890,non-propaganda,-11.0
729015894,non-propaganda,78.0
733562737,non-propaganda,-34.0
733563719,non-propaganda,0.0
733563780,non-propaganda,-19.0
733250310,non-propaganda,94.0
733250576,non-propaganda,2.0
733622557,non-propaganda,6.0
733622954,non-propaganda,0.0
729105509,non-propaganda,6.0
729106354,non-propaganda,-15.0
729457344,non-propaganda,-37.0
733580787,non-propaganda,1.0
729367729,non-propaganda,10.0
729368156,non-propaganda,17.0
729368356,non-propaganda,30.0
