,0,CARDINAL,DATE,GPE,LOC,MONEY,NORP,ORG,PERSON,WORK_OF_ART,ORDINAL,QUANTITY,TIME,FAC,LAW,PRODUCT,EVENT,PERCENT,LANGUAGE
0,,9.0,8.0,27.0,2.0,1.0,23.0,11.0,28.0,,1.0,,,,,,,,
0,,,1.0,1.0,,3.0,,4.0,4.0,,1.0,,1.0,2.0,,,,,
0,,4.0,11.0,3.0,,5.0,8.0,13.0,20.0,1.0,1.0,,,,,1.0,,,
0,,1.0,2.0,5.0,2.0,,11.0,10.0,12.0,1.0,2.0,,3.0,,,,,,
0,,9.0,15.0,15.0,,,17.0,21.0,49.0,,9.0,,1.0,1.0,,2.0,,4.0,
0,,8.0,16.0,7.0,,1.0,2.0,12.0,38.0,3.0,3.0,1.0,5.0,1.0,,,,,
0,,3.0,12.0,12.0,,2.0,1.0,8.0,9.0,1.0,,,1.0,1.0,,,,1.0,
0,,7.0,17.0,17.0,1.0,1.0,2.0,26.0,25.0,1.0,1.0,,,6.0,,,,1.0,
0,,7.0,6.0,20.0,,,3.0,14.0,28.0,,,,1.0,2.0,,,,,
0,,5.0,3.0,10.0,,,,10.0,10.0,1.0,1.0,,,,,4.0,1.0,,
0,,5.0,20.0,33.0,,4.0,3.0,62.0,17.0,1.0,5.0,,,,,,,2.0,
0,,13.0,18.0,6.0,,3.0,5.0,20.0,10.0,,,,1.0,,,,,,
0,,2.0,11.0,20.0,,,8.0,24.0,17.0,,1.0,,,,,,,5.0,
0,,3.0,3.0,,,,1.0,8.0,3.0,,,,7.0,7.0,,,,,
0,,10.0,15.0,33.0,,1.0,8.0,25.0,45.0,,3.0,,,,,2.0,,2.0,
0,,13.0,18.0,11.0,,,1.0,39.0,12.0,1.0,3.0,,6.0,4.0,,,,,
0,,2.0,8.0,7.0,,,15.0,12.0,39.0,,4.0,,,,,,,,
0,,4.0,6.0,2.0,,1.0,3.0,9.0,19.0,,,,,2.0,,1.0,,,
0,,5.0,9.0,18.0,,,11.0,17.0,37.0,,1.0,,,,,3.0,,,
0,,4.0,6.0,2.0,1.0,1.0,,9.0,17.0,6.0,3.0,,,,,,,,
0,,13.0,11.0,16.0,1.0,1.0,1.0,17.0,9.0,,1.0,,2.0,,,1.0,,3.0,
0,,6.0,8.0,8.0,,,2.0,10.0,4.0,,2.0,1.0,,1.0,,1.0,1.0,,
0,,3.0,7.0,11.0,,,1.0,3.0,12.0,1.0,1.0,,1.0,,,1.0,,1.0,
0,,1.0,5.0,2.0,,2.0,,6.0,6.0,2.0,4.0,,,,,,1.0,,
0,,8.0,9.0,7.0,1.0,5.0,2.0,8.0,2.0,2.0,,,,,,,,,
0,,2.0,5.0,7.0,,,1.0,5.0,,,,,1.0,,,,,5.0,
0,,9.0,10.0,21.0,,,15.0,23.0,47.0,,,,,,1.0,2.0,,1.0,
0,,4.0,4.0,3.0,,,2.0,1.0,9.0,,1.0,,,,,,,,
0,,9.0,7.0,7.0,,,,10.0,8.0,,7.0,,4.0,3.0,,,,,
0,,2.0,7.0,5.0,,11.0,2.0,23.0,3.0,,1.0,,,,,,,3.0,
0,,14.0,15.0,4.0,,2.0,1.0,14.0,15.0,,1.0,,2.0,,,,,1.0,
0,,6.0,14.0,8.0,,,6.0,17.0,29.0,1.0,2.0,,,,2.0,,,,
0,,7.0,15.0,5.0,,,13.0,41.0,33.0,1.0,2.0,,,1.0,,,,,
0,,3.0,11.0,14.0,,2.0,2.0,43.0,9.0,,2.0,2.0,14.0,4.0,,2.0,,,
0,,14.0,18.0,17.0,,10.0,15.0,30.0,54.0,,3.0,,,2.0,,,7.0,1.0,1.0
0,,9.0,8.0,21.0,,,6.0,18.0,17.0,3.0,3.0,,1.0,1.0,1.0,,,2.0,
0,,,1.0,2.0,,,,5.0,10.0,2.0,,,1.0,,,,,,
0,,11.0,16.0,11.0,,,6.0,17.0,23.0,1.0,5.0,,3.0,1.0,,,,,
0,,,5.0,6.0,,,,12.0,10.0,,,,4.0,1.0,,,,,
0,,9.0,6.0,27.0,,14.0,8.0,31.0,47.0,1.0,2.0,,,,,3.0,,,
0,,2.0,13.0,20.0,2.0,,9.0,27.0,9.0,,1.0,,2.0,,2.0,1.0,,,
0,,13.0,17.0,15.0,,,2.0,15.0,13.0,1.0,3.0,,,,,,,,
0,,3.0,5.0,4.0,1.0,,,9.0,18.0,,5.0,,1.0,2.0,,1.0,1.0,,
0,,1.0,8.0,6.0,,3.0,2.0,13.0,30.0,,,1.0,,,,,1.0,,
0,,2.0,12.0,21.0,,,3.0,8.0,23.0,1.0,,1.0,1.0,1.0,,,,1.0,
0,,5.0,13.0,13.0,,1.0,13.0,22.0,7.0,1.0,3.0,,,,,,,,
0,,10.0,5.0,13.0,1.0,,,3.0,3.0,,,1.0,,3.0,,,,,
0,,1.0,4.0,9.0,,,6.0,16.0,26.0,,2.0,,,,,,,,
0,,7.0,14.0,24.0,,,22.0,23.0,54.0,,1.0,,,,,2.0,1.0,2.0,
0,,4.0,15.0,12.0,,,4.0,10.0,20.0,1.0,,1.0,1.0,,,1.0,1.0,,
0,,3.0,6.0,11.0,,,2.0,6.0,8.0,,2.0,,2.0,1.0,,,,,
0,,3.0,5.0,15.0,,,3.0,19.0,14.0,,,,3.0,1.0,,,,,
0,,15.0,12.0,7.0,,,1.0,16.0,7.0,,,,,,,,,12.0,2.0
0,,6.0,7.0,7.0,2.0,,1.0,8.0,8.0,,1.0,,1.0,2.0,,5.0,,,
0,,3.0,10.0,6.0,,,1.0,6.0,13.0,,5.0,,,1.0,,1.0,,1.0,
0,,4.0,16.0,13.0,2.0,,1.0,12.0,10.0,,,,,,,,,1.0,
0,,2.0,12.0,9.0,1.0,,8.0,16.0,14.0,,2.0,,,12.0,,,1.0,,
0,,2.0,8.0,2.0,,1.0,7.0,11.0,11.0,,,,,,,,,1.0,
0,,2.0,11.0,6.0,1.0,,1.0,10.0,15.0,,1.0,,1.0,,,,,,
0,,2.0,7.0,6.0,1.0,1.0,3.0,17.0,4.0,,,,,,,,,,
0,,22.0,17.0,16.0,1.0,,5.0,39.0,7.0,1.0,,,,,,,,,
0,,2.0,11.0,10.0,1.0,1.0,8.0,9.0,26.0,2.0,,,,2.0,,,7.0,,
0,,6.0,14.0,17.0,,,2.0,6.0,12.0,,,,7.0,,,1.0,,1.0,
0,,14.0,13.0,4.0,,10.0,1.0,17.0,18.0,,1.0,1.0,,1.0,,,,,
0,,3.0,5.0,6.0,,,,,1.0,,,3.0,,,,,,,
0,,5.0,9.0,15.0,4.0,1.0,,10.0,21.0,,,,2.0,1.0,,,,,
0,,8.0,11.0,21.0,1.0,,13.0,17.0,36.0,,1.0,,,,,2.0,,,
0,,4.0,10.0,7.0,1.0,9.0,3.0,14.0,6.0,,4.0,,,,,,,,
0,,3.0,24.0,5.0,,,3.0,12.0,43.0,,,,3.0,1.0,,,,,
0,,5.0,6.0,7.0,1.0,1.0,,3.0,15.0,1.0,2.0,,,,,,,,
0,,4.0,10.0,11.0,,,4.0,25.0,10.0,,,,,1.0,,1.0,,,
0,,7.0,19.0,6.0,,,1.0,28.0,56.0,,,,,1.0,,,,,
0,,8.0,18.0,10.0,,1.0,7.0,8.0,39.0,14.0,3.0,,2.0,4.0,,,1.0,,
0,,10.0,12.0,18.0,,1.0,3.0,22.0,24.0,,3.0,,3.0,,,,,5.0,
0,,4.0,3.0,4.0,,3.0,1.0,7.0,13.0,2.0,,2.0,,1.0,,,1.0,,
0,,4.0,4.0,19.0,,,2.0,15.0,14.0,1.0,1.0,,,2.0,,,,1.0,
0,,2.0,9.0,2.0,,2.0,5.0,14.0,6.0,,,1.0,3.0,,1.0,,,1.0,
0,,11.0,17.0,16.0,1.0,,11.0,10.0,36.0,,2.0,,,,,1.0,,1.0,
0,,,9.0,3.0,4.0,,1.0,9.0,12.0,1.0,,,,1.0,,,,,
0,,3.0,3.0,5.0,1.0,1.0,,6.0,27.0,,1.0,3.0,2.0,8.0,,,,,
0,,3.0,20.0,14.0,2.0,,3.0,20.0,22.0,3.0,3.0,,,7.0,2.0,,,,
0,,2.0,18.0,4.0,3.0,3.0,,11.0,11.0,,2.0,,,4.0,,,,,
0,,8.0,9.0,2.0,1.0,,2.0,4.0,17.0,,4.0,,,,,1.0,,,
0,,4.0,2.0,4.0,,,,11.0,4.0,,1.0,,,,,1.0,,,
0,,3.0,11.0,12.0,,1.0,5.0,9.0,34.0,,1.0,,1.0,,,,,,
0,,14.0,15.0,43.0,,9.0,17.0,34.0,41.0,,,2.0,2.0,2.0,,3.0,,,
0,,4.0,10.0,26.0,4.0,,9.0,22.0,35.0,,,,,,,2.0,,,
0,,10.0,9.0,9.0,,1.0,15.0,14.0,39.0,,5.0,,,1.0,,1.0,,,
0,,8.0,10.0,1.0,1.0,4.0,10.0,25.0,30.0,,1.0,,1.0,1.0,,,,,
0,,4.0,3.0,1.0,,,1.0,11.0,8.0,,,,,,,,,,
0,,7.0,8.0,10.0,4.0,,3.0,16.0,22.0,,3.0,1.0,1.0,,,,,,
0,,4.0,8.0,2.0,1.0,14.0,,9.0,5.0,,,,1.0,2.0,,,,7.0,
0,,2.0,10.0,8.0,,4.0,1.0,8.0,2.0,,2.0,,,,,,,,
0,,3.0,8.0,7.0,,2.0,,17.0,9.0,,1.0,,,1.0,,,,,
0,,3.0,7.0,3.0,,,,2.0,4.0,,,,1.0,3.0,,,,,
0,,3.0,6.0,12.0,1.0,1.0,,6.0,15.0,,,1.0,,2.0,,,,,
0,,1.0,4.0,7.0,,,10.0,18.0,14.0,1.0,,,,1.0,,,3.0,,
0,,10.0,14.0,43.0,1.0,,40.0,30.0,11.0,,1.0,,3.0,1.0,,1.0,,,
0,,3.0,5.0,8.0,3.0,,2.0,5.0,9.0,,,,,,,2.0,,1.0,
0,,2.0,8.0,11.0,3.0,17.0,,26.0,5.0,4.0,1.0,,,1.0,2.0,1.0,2.0,,
0,,7.0,7.0,18.0,,,11.0,15.0,43.0,2.0,2.0,,,,,2.0,,,
0,,7.0,15.0,10.0,,5.0,3.0,12.0,11.0,3.0,,,,1.0,,,,2.0,
0,,6.0,11.0,17.0,3.0,,11.0,33.0,44.0,1.0,3.0,,,,,1.0,,,
0,,,5.0,14.0,,,20.0,4.0,1.0,,1.0,,1.0,,,,,,
0,,1.0,5.0,4.0,,,,7.0,4.0,,,,1.0,1.0,,1.0,,,
0,,7.0,7.0,7.0,,,5.0,8.0,18.0,,,,1.0,2.0,,,,,
0,,1.0,,10.0,1.0,,3.0,10.0,7.0,,,,,,,,,,
0,,7.0,8.0,43.0,,,29.0,20.0,9.0,,,1.0,1.0,1.0,,,,,
0,,2.0,9.0,20.0,,3.0,7.0,18.0,7.0,,,,,,,,1.0,,
0,,3.0,10.0,5.0,3.0,,4.0,4.0,4.0,1.0,,3.0,,,,,,3.0,
0,,1.0,1.0,2.0,,,3.0,1.0,7.0,2.0,,,1.0,,,,2.0,,
0,,2.0,4.0,3.0,,,2.0,5.0,4.0,,,,1.0,,,,,,
0,,4.0,6.0,9.0,1.0,,3.0,6.0,8.0,1.0,1.0,3.0,2.0,,,2.0,,1.0,
0,,3.0,4.0,7.0,,,1.0,4.0,9.0,,,,,,,,,,
0,,1.0,1.0,4.0,,,1.0,1.0,11.0,3.0,1.0,,,1.0,,,,,
0,,3.0,3.0,9.0,1.0,,4.0,4.0,10.0,,1.0,,1.0,2.0,,1.0,,,
0,,6.0,12.0,21.0,,,9.0,17.0,3.0,,,,,1.0,,,,,
0,,1.0,5.0,2.0,,,,6.0,4.0,,1.0,,,,,,,,
0,,2.0,2.0,3.0,2.0,,2.0,,,,1.0,4.0,,,,,,,
0,,7.0,4.0,3.0,,,5.0,7.0,4.0,,,,,1.0,,,,,
0,,15.0,14.0,34.0,3.0,,11.0,6.0,19.0,2.0,10.0,,,1.0,,,3.0,,
0,,11.0,9.0,9.0,,,8.0,5.0,4.0,,2.0,,,,,,,,
0,,4.0,8.0,10.0,,,6.0,12.0,6.0,,2.0,,,1.0,4.0,,,,
0,,1.0,8.0,4.0,,,6.0,9.0,6.0,,2.0,,,,,,,,
0,,10.0,2.0,6.0,1.0,,6.0,2.0,4.0,1.0,1.0,,1.0,,,1.0,,,
0,,2.0,3.0,4.0,,,1.0,1.0,3.0,,,,1.0,1.0,,,,,
0,,2.0,15.0,5.0,,,5.0,13.0,3.0,2.0,3.0,,,,,1.0,,,1.0
0,,2.0,7.0,13.0,,1.0,8.0,15.0,10.0,1.0,,,2.0,,1.0,,1.0,2.0,
0,,9.0,6.0,19.0,9.0,,10.0,17.0,4.0,,2.0,,,,,,,,
0,,1.0,4.0,7.0,,,9.0,,3.0,,,,,1.0,,,,,
0,,5.0,2.0,8.0,,,13.0,5.0,4.0,,,,,,,,,1.0,
0,,2.0,1.0,4.0,,,2.0,4.0,3.0,,,,,,,,,,
0,,5.0,19.0,17.0,1.0,,10.0,3.0,15.0,1.0,,,1.0,1.0,,,,,
0,,6.0,6.0,13.0,2.0,,1.0,10.0,6.0,,,1.0,,,,,,,
0,,6.0,6.0,9.0,,,4.0,7.0,2.0,,,3.0,1.0,1.0,,,,,
0,,4.0,3.0,7.0,,,8.0,20.0,6.0,1.0,,,,,,,2.0,,
0,,,4.0,9.0,1.0,,1.0,10.0,6.0,,2.0,,1.0,,,,,,
0,,4.0,15.0,9.0,,,6.0,3.0,17.0,,1.0,,1.0,,,,,,
0,,1.0,3.0,5.0,1.0,,2.0,,6.0,,2.0,,,,,,,,
0,,2.0,3.0,11.0,,,4.0,10.0,2.0,,5.0,,,1.0,,,,,
0,,6.0,16.0,14.0,,5.0,10.0,12.0,27.0,2.0,1.0,1.0,,,,,,2.0,1.0
0,,5.0,7.0,10.0,,,6.0,11.0,5.0,,1.0,,,,,,,2.0,
0,,3.0,9.0,6.0,,,4.0,7.0,36.0,,1.0,,,3.0,,,,,
0,,1.0,3.0,7.0,1.0,1.0,8.0,4.0,19.0,,2.0,,,1.0,,1.0,1.0,,
0,,11.0,14.0,19.0,,,7.0,15.0,24.0,,5.0,,2.0,,,,1.0,,
0,,18.0,25.0,6.0,,,4.0,13.0,26.0,,4.0,,,,1.0,1.0,,,1.0
0,,14.0,25.0,23.0,1.0,,45.0,26.0,29.0,1.0,5.0,,1.0,,,2.0,,6.0,
0,,2.0,7.0,32.0,,9.0,14.0,32.0,20.0,,2.0,,,,,1.0,,1.0,
0,,11.0,28.0,38.0,1.0,1.0,23.0,36.0,48.0,,2.0,,1.0,3.0,,1.0,10.0,,
0,,20.0,65.0,71.0,1.0,1.0,55.0,161.0,167.0,1.0,9.0,,,4.0,3.0,2.0,,,1.0
0,,1.0,9.0,10.0,1.0,,11.0,9.0,8.0,1.0,,,1.0,,,2.0,,,
0,,16.0,16.0,31.0,1.0,2.0,27.0,18.0,11.0,,4.0,,1.0,1.0,,,,,1.0
0,,9.0,19.0,24.0,1.0,,13.0,23.0,82.0,8.0,6.0,1.0,2.0,2.0,,,,,
0,,3.0,10.0,33.0,2.0,,32.0,17.0,23.0,1.0,2.0,,,,,2.0,1.0,,4.0
0,,2.0,5.0,16.0,,,13.0,22.0,15.0,,5.0,,,,,1.0,,,1.0
0,,3.0,10.0,3.0,1.0,,6.0,10.0,7.0,,,1.0,4.0,,,,,,
0,,8.0,40.0,70.0,5.0,,80.0,80.0,41.0,3.0,4.0,,,,,,6.0,,2.0
0,,6.0,15.0,5.0,,1.0,18.0,8.0,20.0,7.0,4.0,,2.0,,,1.0,,,
0,,3.0,8.0,7.0,,,18.0,,13.0,1.0,5.0,,5.0,1.0,,1.0,,,1.0
0,,21.0,24.0,102.0,5.0,,50.0,78.0,29.0,5.0,8.0,1.0,,,6.0,1.0,3.0,,
0,,,4.0,12.0,2.0,,19.0,4.0,2.0,,,,3.0,1.0,,2.0,1.0,,
0,,5.0,10.0,4.0,2.0,3.0,11.0,5.0,6.0,,1.0,,,,,1.0,1.0,,
0,,8.0,6.0,17.0,,,42.0,12.0,37.0,1.0,,,,1.0,,,,,
0,,16.0,16.0,18.0,,,36.0,20.0,19.0,3.0,,,1.0,3.0,,2.0,,3.0,
0,,1.0,6.0,2.0,,2.0,8.0,4.0,12.0,,1.0,,,1.0,,,,,
0,,9.0,12.0,35.0,2.0,,14.0,34.0,53.0,1.0,3.0,1.0,,,,,1.0,,1.0
0,,4.0,9.0,12.0,1.0,1.0,19.0,19.0,29.0,,,,,1.0,1.0,,1.0,,
0,,4.0,22.0,25.0,3.0,,16.0,28.0,46.0,,6.0,,2.0,1.0,,1.0,1.0,,
0,,2.0,8.0,5.0,,,6.0,,3.0,,,,,1.0,,,,,
0,,12.0,11.0,16.0,2.0,,27.0,13.0,28.0,1.0,1.0,,,1.0,3.0,,,,
0,,5.0,6.0,14.0,1.0,,21.0,12.0,19.0,1.0,1.0,1.0,,,,1.0,3.0,,
0,,9.0,18.0,8.0,3.0,,24.0,21.0,127.0,5.0,4.0,,6.0,1.0,,1.0,6.0,,1.0
0,,2.0,8.0,9.0,1.0,,8.0,20.0,34.0,2.0,1.0,,1.0,,,,,,
0,,1.0,4.0,4.0,2.0,,4.0,2.0,9.0,,,,,2.0,,,,1.0,1.0
0,,,31.0,25.0,3.0,,18.0,25.0,63.0,1.0,,,1.0,1.0,,,,,
0,,6.0,10.0,13.0,5.0,,13.0,8.0,18.0,,,,,,,1.0,,,
0,,,,7.0,,,,,6.0,,,,,,,,,,
0,,,2.0,5.0,,,,2.0,1.0,,,,,,,,,,
0,,,1.0,1.0,,,,1.0,2.0,,,,,1.0,,,1.0,,
0,,2.0,,,,,,,3.0,,,,,,,,,,
0,,,,2.0,,,,4.0,4.0,,,,,,,,,,
0,,2.0,4.0,4.0,,,,5.0,2.0,,,,2.0,,,,,,
0,,,1.0,2.0,,,,1.0,1.0,,,,,,,,,,
0,,2.0,10.0,8.0,1.0,2.0,7.0,25.0,12.0,,,,1.0,1.0,,,,,
0,,5.0,10.0,14.0,2.0,,5.0,17.0,8.0,,,,,,,,,,
0,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,
0,,5.0,12.0,6.0,,,4.0,13.0,13.0,,,,,,,,,,
0,,,3.0,,,,,6.0,2.0,,,,,,,,,,
0,,5.0,6.0,12.0,5.0,,3.0,23.0,1.0,1.0,1.0,1.0,,,,,,,
0,,2.0,,4.0,,,,5.0,,,2.0,,,,,,,,
0,,,,1.0,,,,2.0,1.0,,,,,,,,,,
0,,4.0,10.0,10.0,2.0,2.0,11.0,8.0,32.0,,,,1.0,1.0,,,,,
0,,8.0,12.0,10.0,,2.0,2.0,15.0,6.0,1.0,,,2.0,1.0,,,,,
0,,,1.0,,,,,2.0,2.0,1.0,,,,,,,,,
0,,,1.0,1.0,,,,2.0,1.0,,,,,,,,,,
0,,,1.0,,,,,1.0,2.0,,,,,,,,,,
0,,,,,,,,2.0,,,1.0,,,,,,,,
0,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,
0,,8.0,26.0,6.0,2.0,3.0,12.0,17.0,11.0,,2.0,,1.0,1.0,,1.0,,,
0,,4.0,24.0,11.0,,,14.0,40.0,12.0,1.0,1.0,,5.0,,,,,,
0,,,2.0,2.0,,,,4.0,4.0,,2.0,,2.0,,,,,,
0,,5.0,9.0,7.0,1.0,,8.0,15.0,6.0,2.0,,,1.0,1.0,,,,,
0,,4.0,16.0,22.0,,12.0,17.0,28.0,18.0,2.0,2.0,,1.0,,1.0,,,,
0,,5.0,11.0,9.0,,,13.0,20.0,17.0,1.0,1.0,,,,,2.0,,2.0,
0,,1.0,9.0,23.0,2.0,,6.0,14.0,15.0,1.0,,,9.0,1.0,,1.0,,,
0,,,3.0,1.0,,,,5.0,4.0,,,,,,,,,,
0,,,1.0,4.0,,,1.0,3.0,3.0,,,,,1.0,,,,,
0,,,1.0,1.0,,2.0,,3.0,,,,,,,,,,,
0,,,1.0,,,,1.0,2.0,2.0,,,,,,,,,,
0,,6.0,13.0,9.0,,,8.0,16.0,6.0,,2.0,,1.0,,1.0,,,,
0,,,4.0,1.0,,,,2.0,3.0,,2.0,,,,,,,,
0,,7.0,7.0,8.0,,,21.0,36.0,22.0,,1.0,,,,,,,,
0,,8.0,7.0,5.0,,3.0,2.0,7.0,1.0,,2.0,,1.0,,,,,1.0,
0,,4.0,2.0,,,,,4.0,2.0,,,,,2.0,,,,,
0,,3.0,7.0,11.0,,,1.0,17.0,12.0,1.0,,,1.0,,,,,,
0,,,,1.0,,,,,6.0,,,,,,,,,,
0,,,6.0,3.0,,,,3.0,7.0,,,,,,,,,,
0,,6.0,16.0,3.0,4.0,3.0,10.0,12.0,14.0,1.0,3.0,,,2.0,,,,,
0,,4.0,10.0,6.0,1.0,3.0,10.0,19.0,13.0,,1.0,,2.0,1.0,1.0,,,,
0,,4.0,17.0,3.0,,,3.0,21.0,16.0,,2.0,,4.0,1.0,,,1.0,,
0,,,,1.0,,,,,,,,,,,,,,,
0,,16.0,27.0,34.0,1.0,1.0,3.0,6.0,45.0,1.0,1.0,,10.0,13.0,,,2.0,,
0,,,,1.0,,,2.0,3.0,4.0,,,,,,,,,,
0,,,2.0,2.0,,,,1.0,1.0,,,,,,,,,,
0,,11.0,22.0,29.0,,,5.0,35.0,46.0,3.0,6.0,1.0,2.0,2.0,,5.0,,,
0,,5.0,10.0,7.0,,,4.0,11.0,11.0,,,,,,,,,,
0,,9.0,15.0,5.0,3.0,4.0,14.0,9.0,7.0,,2.0,,,,,,,,
0,,,,5.0,,,2.0,2.0,6.0,,,,,,,,,,
0,,4.0,4.0,2.0,,,12.0,17.0,22.0,,3.0,,,,3.0,1.0,,,
0,,11.0,31.0,21.0,1.0,,18.0,40.0,14.0,1.0,2.0,,2.0,,5.0,1.0,,,
0,,,1.0,,,,,3.0,1.0,1.0,,,1.0,,,,,,
0,,,1.0,,,,,2.0,1.0,,,,,1.0,,1.0,,,
0,,3.0,7.0,6.0,,,2.0,24.0,8.0,1.0,1.0,,,1.0,,1.0,,,
0,,19.0,22.0,13.0,,,14.0,31.0,6.0,,2.0,,,,1.0,,,,
0,,1.0,,,,,,1.0,1.0,,,,,,,,,,
